FB,,,,AAPL,,,,AMZN,,,,NFLX,,,,GOOG,,,,TSLA,,,
Date,Close,Adj Close,Volume,Date,Close,Adj Close,Volume,Date,Close,Adj Close,Volume,Date,Close,Adj Close,Volume,Date,Close,Adj Close,Volume,Date,Close,Adj Close,Volume
5/21/2012,34.029999,34.029999,168192700,1/2/1990,0.332589,0.268086,183198400,5/16/1997,1.729167,1.729167,14700000,5/24/2002,1.21,1.21,11104800,8/20/2004,53.95277,53.95277,22942800,6/30/2010,4.766,4.766,85935500
5/22/2012,31,31,101786600,1/3/1990,0.334821,0.269885,207995200,5/19/1997,1.708333,1.708333,6106800,5/28/2002,1.157143,1.157143,6609400,8/23/2004,54.495735,54.495735,18342800,7/1/2010,4.392,4.392,41094000
5/23/2012,32,32,73600000,1/4/1990,0.335938,0.270785,221513600,5/20/1997,1.635417,1.635417,5467200,5/29/2002,1.103571,1.103571,6757800,8/24/2004,52.239193,52.239193,15319700,7/2/2010,3.84,3.84,25699000
5/24/2012,33.029999,33.029999,50237200,1/5/1990,0.337054,0.271684,123312000,5/21/1997,1.427083,1.427083,18853200,5/30/2002,1.071429,1.071429,10154200,8/25/2004,52.802086,52.802086,9232100,7/6/2010,3.222,3.222,34334500
5/25/2012,31.91,31.91,37149800,1/8/1990,0.339286,0.273483,101572800,5/22/1997,1.395833,1.395833,11776800,5/31/2002,1.076429,1.076429,8464400,8/26/2004,53.753517,53.753517,7128600,7/7/2010,3.16,3.16,34608500
5/29/2012,28.84,28.84,78063400,1/9/1990,0.335938,0.270785,86139200,5/23/1997,1.5,1.5,15937200,6/3/2002,1.128571,1.128571,3151400,8/27/2004,52.876804,52.876804,6241200,7/8/2010,3.492,3.492,38557000
5/30/2012,28.190001,28.190001,57267900,1/10/1990,0.321429,0.25909,199718400,5/27/1997,1.583333,1.583333,8697600,6/4/2002,1.117857,1.117857,3105200,8/30/2004,50.814533,50.814533,5221400,7/9/2010,3.48,3.48,20253000
5/31/2012,29.6,29.6,111639200,1/11/1990,0.308036,0.248294,211052800,5/28/1997,1.53125,1.53125,4574400,6/5/2002,1.147143,1.147143,1531600,8/31/2004,50.993862,50.993862,4941200,7/12/2010,3.41,3.41,11012500
6/1/2012,27.719999,27.719999,41855500,1/12/1990,0.308036,0.248294,171897600,5/29/1997,1.505208,1.505208,3472800,6/6/2002,1.182143,1.182143,2305800,9/1/2004,49.93782,49.93782,9181600,7/13/2010,3.628,3.628,13400500
6/4/2012,26.9,26.9,35230300,1/15/1990,0.305804,0.246495,161739200,5/30/1997,1.5,1.5,2594400,6/7/2002,1.118571,1.118571,1369200,9/2/2004,50.565468,50.565468,15190400,7/14/2010,3.968,3.968,20976000
6/5/2012,25.870001,25.870001,42473400,1/16/1990,0.311384,0.250993,214244800,6/2/1997,1.510417,1.510417,591600,6/10/2002,1.156429,1.156429,484400,9/3/2004,49.818268,49.818268,5176800,7/15/2010,3.978,3.978,18699000
6/6/2012,26.809999,26.809999,61489200,1/17/1990,0.296875,0.239298,197299200,6/3/1997,1.479167,1.479167,1183200,6/11/2002,1.153571,1.153571,1003800,9/7/2004,50.600338,50.600338,5875200,7/16/2010,4.128,4.128,13106500
6/7/2012,26.309999,26.309999,26159500,1/18/1990,0.289063,0.233001,273291200,6/4/1997,1.416667,1.416667,3080400,6/12/2002,1.092857,1.092857,1799000,9/8/2004,50.958992,50.958992,5009200,7/19/2010,4.382,4.382,12432500
