Date,Close,Adj Close,Volume
6/30/2010,4.766,4.766,85935500
7/1/2010,4.392,4.392,41094000
7/2/2010,3.84,3.84,25699000
7/6/2010,3.222,3.222,34334500
7/7/2010,3.16,3.16,34608500
7/8/2010,3.492,3.492,38557000
7/9/2010,3.48,3.48,20253000
7/12/2010,3.41,3.41,11012500
7/13/2010,3.628,3.628,13400500
7/14/2010,3.968,3.968,20976000
7/15/2010,3.978,3.978,18699000
7/16/2010,4.128,4.128,13106500
7/19/2010,4.382,4.382,12432500
7/20/2010,4.06,4.06,9126500
7/21/2010,4.044,4.044,6262500
7/22/2010,4.2,4.2,4789000
7/23/2010,4.258,4.258,3268000
7/26/2010,4.19,4.19,4611000
7/27/2010,4.11,4.11,3098500
7/28/2010,4.144,4.144,2336000
7/29/2010,4.07,4.07,3080000
7/30/2010,3.988,3.988,2134500
8/2/2010,4.184,4.184,3590500
8/3/2010,4.39,4.39,6152500
8/4/2010,4.252,4.252,4565000
8/5/2010,4.09,4.09,3981000
8/6/2010,3.918,3.918,3709500
8/9/2010,3.92,3.92,4063500
8/10/2010,3.806,3.806,6406500
8/11/2010,3.58,3.58,3988000
8/12/2010,3.52,3.52,3455000
8/13/2010,3.664,3.664,3170000
8/16/2010,3.756,3.756,2429000
8/17/2010,3.83,3.83,2239500
8/18/2010,3.754,3.754,3006500
8/19/2010,3.758,3.758,2895500
8/20/2010,3.82,3.82,1480000
8/23/2010,4.026,4.026,5440500
8/24/2010,3.84,3.84,3365500
8/25/2010,3.98,3.98,2516500
8/26/2010,3.95,3.95,2169000
8/27/2010,3.94,3.94,1898000
8/30/2010,3.974,3.974,3664000
8/31/2010,3.896,3.896,1005500
9/1/2010,4.09,4.09,2474500
9/2/2010,4.212,4.212,2435500
9/3/2010,4.21,4.21,2173000
9/7/2010,4.108,4.108,1217000
9/8/2010,4.18,4.18,1442000
9/9/2010,4.142,4.142,1881000
9/10/2010,4.034,4.034,1933000
9/13/2010,4.144,4.144,1804000
9/14/2010,4.224,4.224,3273500
9/15/2010,4.396,4.396,3423000
9/16/2010,4.188,4.188,13422500
9/17/2010,4.046,4.046,5992500
9/20/2010,4.212,4.212,4737500
9/21/2010,4.154,4.154,3980000
9/22/2010,3.974,3.974,4814500
9/23/2010,3.912,3.912,3340500
9/24/2010,4.02,4.02,2894500
9/27/2010,4.106,4.106,2093000
9/28/2010,4.28,4.28,6072500
9/29/2010,4.396,4.396,9846500
9/30/2010,4.082,4.082,10979000
10/1/2010,4.12,4.12,2988500
10/4/2010,4.198,4.198,3218000
10/5/2010,4.224,4.224,1660000
10/6/2010,4.092,4.092,1567000
10/7/2010,4.086,4.086,705000
10/8/2010,4.086,4.086,1339000
10/11/2010,4.048,4.048,856000
10/12/2010,4.048,4.048,1220000
10/13/2010,4.108,4.108,1591000
10/14/2010,4.15,4.15,1474000
10/15/2010,4.108,4.108,1423500
10/18/2010,4.046,4.046,814000
10/19/2010,4.01,4.01,1226000
10/20/2010,4.13,4.13,1562500
10/21/2010,4.15,4.15,2085500
10/22/2010,4.144,4.144,805500
10/25/2010,4.17,4.17,592500
10/26/2010,4.272,4.272,3304500
10/27/2010,4.2,4.2,1782500
10/28/2010,4.238,4.238,1121000
10/29/2010,4.368,4.368,1403000
11/1/2010,4.282,4.282,2279000
11/2/2010,4.25,4.25,1612500
11/3/2010,4.354,4.354,1863000
11/4/2010,4.98,4.98,9370000
11/5/2010,4.888,4.888,5055000
11/8/2010,4.996,4.996,2547500
11/9/2010,4.926,4.926,4782000
11/10/2010,5.872,5.872,15302500
11/11/2010,5.608,5.608,9726500
11/12/2010,5.968,5.968,13645500
11/15/2010,6.16,6.16,13114500
11/16/2010,5.934,5.934,6738000
11/17/2010,5.898,5.898,3750000
11/18/2010,5.978,5.978,4780500
11/19/2010,6.198,6.198,5752500
11/22/2010,6.68,6.68,7648500
11/23/2010,6.914,6.914,7889000
11/24/2010,7.094,7.094,7125000
11/26/2010,7.064,7.064,1753000
11/29/2010,6.866,6.866,5728000
11/30/2010,7.066,7.066,11113000
12/1/2010,6.87,6.87,6496000
12/2/2010,6.47,6.47,10035000
12/3/2010,6.298,6.298,5800500
12/6/2010,6.062,6.062,6372000
12/7/2010,6.312,6.312,6556500
12/8/2010,6.474,6.474,3300000
12/9/2010,6.41,6.41,2030000
12/10/2010,6.304,6.304,2147000
12/13/2010,6.11,6.11,2052000
12/14/2010,5.706,5.706,8828500
12/15/2010,5.92,5.92,3714500
12/16/2010,6.162,6.162,3950500
12/17/2010,6.272,6.272,4065000
12/20/2010,6.34,6.34,2617000
12/21/2010,6.452,6.452,3888500
12/22/2010,6.526,6.526,4166500
12/23/2010,6.018,6.018,7763000
12/27/2010,5.11,5.11,46509500
12/28/2010,5.282,5.282,20281500
12/29/2010,5.546,5.546,16596000
12/30/2010,5.3,5.3,10205500
12/31/2010,5.326,5.326,7089500
1/3/2011,5.324,5.324,6415000
1/4/2011,5.334,5.334,5937000
1/5/2011,5.366,5.366,7233500
1/6/2011,5.576,5.576,10306000
1/7/2011,5.648,5.648,11239500
1/10/2011,5.69,5.69,6713500
1/11/2011,5.392,5.392,8551000
1/12/2011,5.392,5.392,4822000
1/13/2011,5.244,5.244,3618000
1/14/2011,5.15,5.15,5960000
1/18/2011,5.128,5.128,8108500
1/19/2011,4.806,4.806,11857500
1/20/2011,4.524,4.524,11399500
1/21/2011,4.608,4.608,6085000
1/24/2011,4.898,4.898,8225500
1/25/2011,4.936,4.936,6357500
1/26/2011,4.95,4.95,5399500
1/27/2011,4.984,4.984,4478500
1/28/2011,4.802,4.802,5242000
1/31/2011,4.82,4.82,4151500
2/1/2011,4.782,4.782,3539000
2/2/2011,4.788,4.788,2847500
2/3/2011,4.726,4.726,2560000
2/4/2011,4.692,4.692,2720000
2/7/2011,4.614,4.614,4475500
2/8/2011,4.898,4.898,17524500
2/9/2011,4.642,4.642,13178000
2/10/2011,4.644,4.644,4180500
2/11/2011,4.65,4.65,3172500
2/14/2011,4.616,4.616,6415500
2/15/2011,4.568,4.568,4768500
2/16/2011,4.946,4.946,20575500
2/17/2011,4.72,4.72,13092000
2/18/2011,4.636,4.636,11853500
2/22/2011,4.374,4.374,10323000
